SiteID,ProjectCode,TesterID,Date,Time,Lot Name,Login Mode,Input,Pass,Fail,Error#,Socket Usage,Socket Usage#
MI_X,X123,FFXX,29/05/2018,00:49:00,MTAXMC18500513,OPERATOR,0,0,0,0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,144
MI_X,X123,FFXX,29/05/2018,00:50:00,MTAXMC18500513,OPERATOR,0,0,0,0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,144
MI_X,X123,FFXX,29/05/2018,00:51:00,MTAXMC18500513,OPERATOR,0,0,0,0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,144
MI_X,X123,FFXX,29/05/2018,00:52:00,MTAXMC18500513,OPERATOR,0,0,0,0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,144
MI_X,X123,FFXX,29/05/2018,00:53:00,MTAXMC18500513,OPERATOR,0,0,0,0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,144
MI_X,X123,FFXX,29/05/2018,00:54:00,MTAXMC18500513,OPERATOR,0,0,0,0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,144
MI_X,X123,FFXX,29/05/2018,00:55:00,MTAXMC18500513,OPERATOR,0,0,0,0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,144
MI_X,X123,FFXX,29/05/2018,00:56:00,MTAXMC18500513,OPERATOR,0,0,0,0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,144
MI_X,X123,FFXX,29/05/2018,00:57:00,MTAXMC18500513,OPERATOR,0,0,0,0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,144
MI_X,X123,FFXX,29/05/2018,00:58:00,MTAXMC18500513,OPERATOR,0,0,0,0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,144
MI_X,X123,FFXX,29/05/2018,00:59:00,MTAXMC18500513,OPERATOR,10,12,0,0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,144
MI_X,X123,FFXX,29/05/2018,01:00:00,MTAXMC18500513,OPERATOR,39,23,0,0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,144
MI_X,X123,FFXX,29/05/2018,01:01:00,MTAXMC18500513,OPERATOR,21,34,3,0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,144
MI_X,X123,FFXX,29/05/2018,01:02:00,MTAXMC18500513,OPERATOR,36,40,3,0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,144
MI_X,X123,FFXX,29/05/2018,01:03:00,MTAXMC18500513,OPERATOR,41,40,2,0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,144
MI_X,X123,FFXX,29/05/2018,01:04:00,MTAXMC18500513,OPERATOR,44,46,1,0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,144
MI_X,X123,FFXX,29/05/2018,01:05:00,MTAXMC18500513,OPERATOR,41,46,0,0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,144
MI_X,X123,FFXX,29/05/2018,01:06:00,MTAXMC18500513,OPERATOR,44,32,4,0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,144
MI_X,X123,FFXX,29/05/2018,01:07:00,MTAXMC18500513,OPERATOR,34,0,0,0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,144
